抓取时间,预售证号,楼栋,单元,楼层,门牌号,户型,面积,预售申报价,销售状态,出售日期
20260513_170055,GX2025007,1号楼,第1单元,1层,101,三室二厅,126.53m²,24127元/㎡,可售,
20260513_170055,GX2025007,1号楼,第1单元,1层,102,三室二厅,118.74m²,24127元/㎡,可售,
20260513_170055,GX2025007,1号楼,第1单元,2层,201,三室二厅,126.53m²,15254元/㎡,已售,
20260513_170055,GX2025007,1号楼,第1单元,2层,202,三室二厅,126.53m²,15254元/㎡,已售,
20260513_170055,GX2025007,1号楼,第1单元,3层,301,三室二厅,126.53m²,15374元/㎡,已售,
20260513_170055,GX2025007,1号楼,第1单元,3层,302,三室二厅,126.53m²,15374元/㎡,可售,
20260513_170055,GX2025007,1号楼,第1单元,4层,401,三室二厅,126.53m²,15010元/㎡,可售,
20260513_170055,GX2025007,1号楼,第1单元,4层,402,三室二厅,126.53m²,15010元/㎡,已售,
20260513_170055,GX2025007,1号楼,第1单元,5层,501,三室二厅,126.53m²,15739元/㎡,已售,
20260513_170055,GX2025007,1号楼,第1单元,5层,502,三室二厅,126.53m²,15739元/㎡,已售,
20260513_170055,GX2025007,1号楼,第1单元,6层,601,三室二厅,126.53m²,15739元/㎡,已售,
20260513_170055,GX2025007,1号楼,第1单元,6层,602,三室二厅,126.53m²,15739元/㎡,可售,
20260513_170055,GX2025007,1号楼,第1单元,7层,701,三室二厅,126.53m²,15496元/㎡,已售,
20260513_170055,GX2025007,1号楼,第1单元,7层,702,三室二厅,126.53m²,15496元/㎡,已售,
20260513_170055,GX2025007,1号楼,第1单元,8层,801,顶层复式,159.37m²,20480元/㎡,已售,
20260513_170055,GX2025007,1号楼,第1单元,8层,802,顶层复式,159.37m²,20480元/㎡,已售,
20260513_170055,GX2025007,1号楼,第2单元,1层,101,三室二厅,143.78m²,24249元/㎡,已售,
20260513_170055,GX2025007,1号楼,第2单元,1层,102,三室二厅,137.9m²,24249元/㎡,可售,
20260513_170055,GX2025007,1号楼,第2单元,2层,201,三室二厅,143.78m²,15374元/㎡,可售,
20260513_170055,GX2025007,1号楼,第2单元,2层,202,三室二厅,143.78m²,15374元/㎡,可售,
20260513_170055,GX2025007,1号楼,第2单元,3层,301,三室二厅,143.78m²,15496元/㎡,可售,
20260513_170055,GX2025007,1号楼,第2单元,3层,302,三室二厅,143.78m²,15496元/㎡,可售,
20260513_170055,GX2025007,1号楼,第2单元,4层,401,三室二厅,143.78m²,15132元/㎡,可售,
20260513_170055,GX2025007,1号楼,第2单元,4层,402,三室二厅,143.78m²,15132元/㎡,已售,
20260513_170055,GX2025007,1号楼,第2单元,5层,501,三室二厅,143.78m²,15861元/㎡,可售,
20260513_170055,GX2025007,1号楼,第2单元,5层,502,三室二厅,143.78m²,15861元/㎡,可售,
20260513_170055,GX2025007,1号楼,第2单元,6层,601,三室二厅,143.78m²,15861元/㎡,已售,
20260513_170055,GX2025007,1号楼,第2单元,6层,602,三室二厅,143.78m²,15861元/㎡,可售,
20260513_170055,GX2025007,1号楼,第2单元,7层,701,三室二厅,143.78m²,15618元/㎡,可售,
20260513_170055,GX2025007,1号楼,第2单元,7层,702,三室二厅,143.78m²,15618元/㎡,可售,
20260513_170055,GX2025007,1号楼,第2单元,8层,801,顶层复式,176.52m²,20602元/㎡,可售,
20260513_170055,GX2025007,1号楼,第2单元,8层,802,顶层复式,176.52m²,20602元/㎡,可售,
20260513_170055,GX2025007,1号楼,第3单元,1层,101,三室二厅,137.9m²,24286元/㎡,已售,
20260513_170055,GX2025007,1号楼,第3单元,1层,102,三室二厅,143.78m²,24310元/㎡,已售,
20260513_170055,GX2025007,1号楼,第3单元,2层,201,三室二厅,143.78m²,15411元/㎡,可售,
20260513_170055,GX2025007,1号楼,第3单元,2层,202,三室二厅,143.78m²,15435元/㎡,可售,
20260513_170055,GX2025007,1号楼,第3单元,3层,301,三室二厅,143.78m²,15533元/㎡,可售,
20260513_170055,GX2025007,1号楼,第3单元,3层,302,三室二厅,143.78m²,15557元/㎡,可售,
20260513_170055,GX2025007,1号楼,第3单元,4层,401,三室二厅,143.78m²,15169元/㎡,可售,
20260513_170055,GX2025007,1号楼,第3单元,4层,402,三室二厅,143.78m²,15193元/㎡,已售,
20260513_170055,GX2025007,1号楼,第3单元,5层,501,三室二厅,143.78m²,15898元/㎡,可售,
20260513_170055,GX2025007,1号楼,第3单元,5层,502,三室二厅,143.78m²,15922元/㎡,可售,
20260513_170055,GX2025007,1号楼,第3单元,6层,601,三室二厅,143.78m²,15898元/㎡,已售,
20260513_170055,GX2025007,1号楼,第3单元,6层,602,三室二厅,143.78m²,15922元/㎡,可售,
20260513_170055,GX2025007,1号楼,第3单元,7层,701,三室二厅,143.78m²,15654元/㎡,已售,
20260513_170055,GX2025007,1号楼,第3单元,7层,702,三室二厅,143.78m²,15679元/㎡,可售,
20260513_170055,GX2025007,1号楼,第3单元,8层,801,顶层复式,176.52m²,20638元/㎡,可售,
20260513_170055,GX2025007,1号楼,第3单元,8层,802,顶层复式,176.52m²,20663元/㎡,可售,
20260513_170055,GX2025005,2号楼,第1单元,1层,101,三室二厅,143.77m²,24168元/㎡,已售,
20260513_170055,GX2025005,2号楼,第1单元,1层,102,三室二厅,137.89m²,24229元/㎡,可售,
20260513_170055,GX2025005,2号楼,第1单元,1层,地下车库排风井,,4.82m²,,不可售,
20260513_170055,GX2025005,2号楼,第1单元,2层,201,三室二厅,143.77m²,15294元/㎡,可售,
20260513_170055,GX2025005,2号楼,第1单元,2层,202,三室二厅,143.77m²,15355元/㎡,可售,
20260513_170055,GX2025005,2号楼,第1单元,3层,301,三室二厅,143.77m²,15416元/㎡,可售,
